# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 154.706 avgA: 306.45 avgB: 395.577 MNR: 0.49744 GNR: 0.425476 DICE: 0.419379
chA: 0 chB: 2 | avgC: 76.6137 avgA: 306.415 avgB: 421.286 MNR: 0.249752 GNR: 0.206989 DICE: 0.202818
chA: 0 chB: 3 | avgC: 93.9682 avgA: 306.384 avgB: 372.836 MNR: 0.312277 GNR: 0.267617 DICE: 0.2637
chA: 0 chB: 4 | avgC: 57.3189 avgA: 306.347 avgB: 316.902 MNR: 0.194583 GNR: 0.174351 DICE: 0.17292
chA: 1 chB: 2 | avgC: 144.37 avgA: 395.569 avgB: 421.286 MNR: 0.348191 GNR: 0.32704 DICE: 0.326076
chA: 1 chB: 3 | avgC: 168.381 avgA: 395.565 avgB: 372.832 MNR: 0.41908 GNR: 0.399863 DICE: 0.399022
chA: 1 chB: 4 | avgC: 104.417 avgA: 395.565 avgB: 316.901 MNR: 0.307525 GNR: 0.272145 DICE: 0.269478
chA: 2 chB: 3 | avgC: 331.679 avgA: 421.28 avgB: 372.832 MNR: 0.85206 GNR: 0.786425 DICE: 0.782798
chA: 2 chB: 4 | avgC: 114.726 avgA: 421.28 avgB: 316.901 MNR: 0.347104 GNR: 0.291299 DICE: 0.285856
chA: 3 chB: 4 | avgC: 125.99 avgA: 372.832 avgB: 316.901 MNR: 0.385597 GNR: 0.341398 DICE: 0.337788

# ---------- 02 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 162.556 avgA: 313.772 avgB: 419.876 MNR: 0.509925 GNR: 0.430539 DICE: 0.423531
chA: 0 chB: 2 | avgC: 77.1867 avgA: 313.739 avgB: 444.935 MNR: 0.245423 GNR: 0.201442 DICE: 0.197011
chA: 0 chB: 3 | avgC: 102.628 avgA: 313.725 avgB: 408.803 MNR: 0.329224 GNR: 0.276952 DICE: 0.272177
chA: 0 chB: 4 | avgC: 59.243 avgA: 313.706 avgB: 335.171 MNR: 0.192627 GNR: 0.172827 DICE: 0.171435
chA: 1 chB: 2 | avgC: 153.61 avgA: 419.859 avgB: 444.935 MNR: 0.351909 GNR: 0.331601 DICE: 0.330708
chA: 1 chB: 3 | avgC: 190.27 avgA: 419.854 avgB: 408.799 MNR: 0.442277 GNR: 0.425692 DICE: 0.42507
chA: 1 chB: 4 | avgC: 113.986 avgA: 419.848 avgB: 335.151 MNR: 0.319458 GNR: 0.283509 DICE: 0.280839
chA: 2 chB: 3 | avgC: 363.785 avgA: 444.931 avgB: 408.789 MNR: 0.858818 GNR: 0.805555 DICE: 0.803225
chA: 2 chB: 4 | avgC: 122.375 avgA: 444.931 avgB: 335.151 MNR: 0.349807 GNR: 0.296714 DICE: 0.291764
chA: 3 chB: 4 | avgC: 142.894 avgA: 408.789 avgB: 335.151 MNR: 0.413589 GNR: 0.363788 DICE: 0.359659

# ---------- 03 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 160.907 avgA: 314.206 avgB: 421.648 MNR: 0.505483 GNR: 0.425052 DICE: 0.417751
chA: 0 chB: 2 | avgC: 76.4923 avgA: 314.132 avgB: 440.322 MNR: 0.244322 GNR: 0.200562 DICE: 0.196109
chA: 0 chB: 3 | avgC: 99.8325 avgA: 314.061 avgB: 398.302 MNR: 0.321225 GNR: 0.272297 DICE: 0.267887
chA: 0 chB: 4 | avgC: 61.9207 avgA: 314.017 avgB: 350.524 MNR: 0.200128 GNR: 0.176368 DICE: 0.174582
chA: 1 chB: 2 | avgC: 155.015 avgA: 421.63 avgB: 440.308 MNR: 0.356952 GNR: 0.336045 DICE: 0.335092
chA: 1 chB: 3 | avgC: 189.254 avgA: 421.63 avgB: 398.301 MNR: 0.446426 GNR: 0.427912 DICE: 0.427117
chA: 1 chB: 4 | avgC: 118.887 avgA: 421.62 avgB: 350.52 MNR: 0.320583 GNR: 0.288174 DICE: 0.285794
chA: 2 chB: 3 | avgC: 359.078 avgA: 440.299 avgB: 398.299 MNR: 0.864435 GNR: 0.808176 DICE: 0.8056
chA: 2 chB: 4 | avgC: 126.056 avgA: 440.294 avgB: 350.496 MNR: 0.347229 GNR: 0.299499 DICE: 0.295307
chA: 3 chB: 4 | avgC: 141.56 avgA: 398.292 avgB: 350.473 MNR: 0.398072 GNR: 0.35677 DICE: 0.353347

# ---------- 04 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 164.799 avgA: 321.407 avgB: 423.546 MNR: 0.505707 GNR: 0.428386 DICE: 0.421692
chA: 0 chB: 2 | avgC: 78.7033 avgA: 321.4 avgB: 450.673 MNR: 0.245385 GNR: 0.20165 DICE: 0.197223
chA: 0 chB: 3 | avgC: 103.353 avgA: 321.389 avgB: 411.762 MNR: 0.321903 GNR: 0.273192 DICE: 0.268865
chA: 0 chB: 4 | avgC: 62.7903 avgA: 321.38 avgB: 351.219 MNR: 0.197932 GNR: 0.176181 DICE: 0.174605
chA: 1 chB: 2 | avgC: 154.37 avgA: 423.546 avgB: 450.673 MNR: 0.35272 GNR: 0.329839 DICE: 0.328733
chA: 1 chB: 3 | avgC: 190.564 avgA: 423.543 avgB: 411.762 MNR: 0.437975 GNR: 0.422318 DICE: 0.421792
chA: 1 chB: 4 | avgC: 117.272 avgA: 423.526 avgB: 351.207 MNR: 0.314759 GNR: 0.28261 DICE: 0.280267
chA: 2 chB: 3 | avgC: 367.611 avgA: 450.646 avgB: 411.748 MNR: 0.863603 GNR: 0.807518 DICE: 0.804914
chA: 2 chB: 4 | avgC: 127.665 avgA: 450.646 avgB: 351.197 MNR: 0.349379 GNR: 0.299113 DICE: 0.294561
