# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 4 | avgC: 2.56078 avgA: 19.8275 avgB: 40.2196 MNR: 0.119459 GNR: 0.0834981 DICE: 0.0778295
chA: 1 chB: 2 | avgC: 9.83275 avgA: 45.439 avgB: 100.791 MNR: 0.182695 GNR: 0.127812 DICE: 0.119086
chA: 1 chB: 3 | avgC: 10.8407 avgA: 44.383 avgB: 86.7119 MNR: 0.198187 GNR: 0.14604 DICE: 0.13861
chA: 1 chB: 4 | avgC: 5.21986 avgA: 46.1064 avgB: 36.695 MNR: 0.123543 GNR: 0.106329 DICE: 0.104387
chA: 2 chB: 3 | avgC: 45.465 avgA: 101.129 avgB: 89.3252 MNR: 0.478685 GNR: 0.404726 DICE: 0.396833
chA: 2 chB: 4 | avgC: 11.2652 avgA: 103.638 avgB: 37.0753 MNR: 0.243147 GNR: 0.157908 DICE: 0.142985
chA: 3 chB: 4 | avgC: 12.7687 avgA: 90.8719 avgB: 36.8185 MNR: 0.284146 GNR: 0.187686 DICE: 0.171716

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.405 avgA: 41.8778 avgB: 87.7376 MNR: 0.561596 GNR: 0.375557 DICE: 0.34609
chA: 0 chB: 2 | avgC: 14.8778 avgA: 41.8778 avgB: 199.609 MNR: 0.340745 GNR: 0.162819 DICE: 0.127885
chA: 0 chB: 3 | avgC: 18.0701 avgA: 41.8778 avgB: 157.615 MNR: 0.434364 GNR: 0.222682 DICE: 0.181744
chA: 0 chB: 4 | avgC: 11.3054 avgA: 41.8778 avgB: 82.3462 MNR: 0.271209 GNR: 0.188796 DICE: 0.176282
chA: 1 chB: 2 | avgC: 32.2427 avgA: 87.218 avgB: 198.342 MNR: 0.358148 GNR: 0.244435 DICE: 0.226208
chA: 1 chB: 3 | avgC: 37.1348 avgA: 87.218 avgB: 156.652 MNR: 0.412451 GNR: 0.311349 DICE: 0.29803
chA: 1 chB: 4 | avgC: 19.5685 avgA: 87.218 avgB: 81.8494 MNR: 0.245711 GNR: 0.224233 DICE: 0.222839
chA: 2 chB: 3 | avgC: 99.8247 avgA: 198.342 avgB: 156.652 MNR: 0.627657 GNR: 0.560516 DICE: 0.555831
chA: 2 chB: 4 | avgC: 32.7685 avgA: 198.342 avgB: 81.8494 MNR: 0.387878 GNR: 0.252714 DICE: 0.230484
chA: 3 chB: 4 | avgC: 33.6494 avgA: 156.652 avgB: 81.8494 MNR: 0.400497 GNR: 0.290394 DICE: 0.275139

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.6101 avgA: 40.6995 avgB: 88.8211 MNR: 0.568148 GNR: 0.375568 DICE: 0.344548
chA: 0 chB: 2 | avgC: 15.2729 avgA: 40.6972 avgB: 206.901 MNR: 0.351274 GNR: 0.160452 DICE: 0.122612
chA: 0 chB: 3 | avgC: 16.656 avgA: 40.6972 avgB: 157.702 MNR: 0.391809 GNR: 0.203913 DICE: 0.167637
chA: 0 chB: 4 | avgC: 11.7615 avgA: 40.6972 avgB: 79.8693 MNR: 0.276367 GNR: 0.194887 DICE: 0.182676
chA: 1 chB: 2 | avgC: 31.582 avgA: 87.2742 avgB: 202.937 MNR: 0.341433 GNR: 0.229878 DICE: 0.211853
chA: 1 chB: 3 | avgC: 34.8045 avgA: 87.2742 avgB: 154.674 MNR: 0.37417 GNR: 0.284966 DICE: 0.2732
chA: 1 chB: 4 | avgC: 18.8899 avgA: 87.2742 avgB: 78.4045 MNR: 0.235184 GNR: 0.214178 DICE: 0.212789
chA: 2 chB: 3 | avgC: 98.7236 avgA: 202.937 avgB: 154.674 MNR: 0.60649 GNR: 0.532466 DICE: 0.52716
chA: 2 chB: 4 | avgC: 30.4382 avgA: 202.937 avgB: 78.4045 MNR: 0.373653 GNR: 0.235067 DICE: 0.211474
chA: 3 chB: 4 | avgC: 32.3663 avgA: 154.674 avgB: 78.4045 MNR: 0.389773 GNR: 0.278937 DICE: 0.263154

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 6.22248 avgA: 19.8689 avgB: 43.3981 MNR: 0.316755 GNR: 0.199443 DICE: 0.179284
chA: 0 chB: 2 | avgC: 2.51522 avgA: 19.8689 avgB: 69.3677 MNR: 0.122714 GNR: 0.0738691 DICE: 0.0655601
chA: 0 chB: 3 | avgC: 5.96721 avgA: 19.8689 avgB: 85.5269 MNR: 0.301963 GNR: 0.141841 DICE: 0.110708
chA: 0 chB: 4 | avgC: 3.62529 avgA: 19.8689 avgB: 34.0656 MNR: 0.191245 GNR: 0.128405 DICE: 0.117894
chA: 1 chB: 2 | avgC: 6.28539 avgA: 42.227 avgB: 67.0876 MNR: 0.153292 GNR: 0.108417 DICE: 0.101031
chA: 1 chB: 3 | avgC: 10.3551 avgA: 42.227 avgB: 82.6427 MNR: 0.238457 GNR: 0.166652 DICE: 0.154718
