# ---------- 01 Per-Channel Summary ----------
chA: 1 chB: 2 | avgC: 134.588 avgA: 432.354 avgB: 399.417 MNR: 0.338852 GNR: 0.317307 DICE: 0.316249
chA: 1 chB: 3 | avgC: 142.005 avgA: 432.354 avgB: 373.604 MNR: 0.372716 GNR: 0.34475 DICE: 0.343167
chA: 1 chB: 4 | avgC: 171.802 avgA: 432.354 avgB: 415.871 MNR: 0.414941 GNR: 0.397175 DICE: 0.396591
chA: 2 chB: 3 | avgC: 312.513 avgA: 399.417 avgB: 373.604 MNR: 0.842149 GNR: 0.793754 DICE: 0.791419
chA: 2 chB: 4 | avgC: 118.758 avgA: 399.417 avgB: 415.871 MNR: 0.301191 GNR: 0.286491 DICE: 0.285959
chA: 3 chB: 4 | avgC: 128.093 avgA: 373.604 avgB: 415.871 MNR: 0.343165 GNR: 0.318822 DICE: 0.317415

# ---------- 06 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 197.933 avgA: 302.84 avgB: 429.8 MNR: 0.657466 GNR: 0.548483 DICE: 0.538287
chA: 0 chB: 2 | avgC: 83.9655 avgA: 302.834 avgB: 398.697 MNR: 0.279336 GNR: 0.240541 DICE: 0.237397
chA: 0 chB: 3 | avgC: 104.412 avgA: 302.831 avgB: 385.858 MNR: 0.349298 GNR: 0.30304 DICE: 0.299231
chA: 0 chB: 4 | avgC: 100.635 avgA: 302.825 avgB: 415.083 MNR: 0.33596 GNR: 0.282996 DICE: 0.278425
chA: 1 chB: 2 | avgC: 132.3 avgA: 429.8 avgB: 398.697 MNR: 0.333319 GNR: 0.313174 DICE: 0.312209
chA: 1 chB: 3 | avgC: 145.377 avgA: 429.8 avgB: 385.858 MNR: 0.372486 GNR: 0.350304 DICE: 0.349263
chA: 1 chB: 4 | avgC: 172.989 avgA: 429.8 avgB: 415.083 MNR: 0.418318 GNR: 0.401949 DICE: 0.401431
chA: 2 chB: 3 | avgC: 321.154 avgA: 398.697 avgB: 385.858 MNR: 0.847198 GNR: 0.804753 DICE: 0.803094
chA: 2 chB: 4 | avgC: 119.136 avgA: 398.697 avgB: 415.083 MNR: 0.303052 GNR: 0.288391 DICE: 0.287843
chA: 3 chB: 4 | avgC: 132.138 avgA: 385.858 avgB: 415.083 MNR: 0.344252 GNR: 0.323623 DICE: 0.322618

# ---------- 07 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 188.337 avgA: 291.636 avgB: 402.853 MNR: 0.63963 GNR: 0.541098 DICE: 0.532071
chA: 0 chB: 2 | avgC: 81.4624 avgA: 291.624 avgB: 379.488 MNR: 0.27968 GNR: 0.241209 DICE: 0.237956
chA: 0 chB: 3 | avgC: 86.7657 avgA: 291.613 avgB: 322.501 MNR: 0.312554 GNR: 0.275277 DICE: 0.27218
chA: 0 chB: 4 | avgC: 96.3471 avgA: 291.606 avgB: 390.642 MNR: 0.330587 GNR: 0.281106 DICE: 0.276928
chA: 1 chB: 2 | avgC: 123.647 avgA: 402.851 avgB: 379.488 MNR: 0.324435 GNR: 0.30439 DICE: 0.303442
